CarID,CarName,CarAge,Price,Depreciation,Mileage,Road Tax,Dereg Value,COE,Engine Cap,Curb Weight,Type of Vehicle,Reg Date,COE Expiry Date,COE Duration,Transmission,OMV,ARF,Power,No of Owners
1081489,Volvo V40 T4 R-Design,990,115800,14120,17000,1176,44075,34000,1969,1454,Hatchback,2019-07-08,2029-07-07,2662,Auto,24074,25704,140.0,1
1070886,Land Rover Range Rover Sport Diesel 3.0A 7-Seater,1973,188888,27100,133000,3376,115977,56956,2993,2183,SUV,2016-10-28,2026-10-27,1678,Auto,86985,128573,225.0,2
1082885,Volvo XC60 T5 Momentum,1281,170000,22680,58000,1176,54933,32311,1969,1841,SUV,2018-09-20,2028-09-19,2371,Auto,38070,45298,187.0,1
1080087,Toyota Voxy 2.0A X,4928,68888,10580,176000,1674,21727,33377,1986,1560,MPV,2008-09-25,2028-09-24,2376,Auto,22387,22387,105.0,4
1079487,Audi A3 Sedan 1.4A TFSI CoD S-tronic,1227,100800,13290,96775,624,40187,32302,1395,1320,Luxury Sedan,2018-11-13,2028-11-12,2425,Auto,23548,24968,110.0,1
1080794,Mazda 3 1.5A Sunroof,2031,52800,10630,73000,682,31523,53334,1496,1321,Mid-Sized Sedan,2016-08-31,2026-08-30,1620,Auto,16217,11217,88.0,1
1063581,Mercedes-Benz S-Class S300L Sunroof,4739,76800,10930,133000,3097,23194,33018,2997,1850,Luxury Sedan,2009-04-02,2029-03-31,2564,Auto,82966,82966,170.0,3
1067699,Suzuki Swift 1.2A XG,4844,14888,8580,125000,748,4782,13786,1242,1000,Hatchback,2008-12-18,2023-12-17,633,Auto,10352,10352,90.0,5
1072795,Suzuki Vitara 1.6A GLX,1660,67800,11290,99000,736,32738,42900,1586,1160,SUV,2017-09-06,2027-09-05,1991,Auto,17449,12449,88.0,1
1077934,Mercedes-Benz AMG GT S,770,608800,60040,9980,3922,231394,37109,3982,1665,Sports Car,2020-02-13,2030-02-12,2882,Auto,165254,269458,384.0,2
1016288,Volkswagen Passat R36,4759,69800,10010,95000,4316,23022,33018,3597,1689,Luxury Sedan,2009-03-13,2029-03-12,2545,Auto,47041,47041,220.0,4
1070752,Mercedes-Benz E-Class E300 Coupe AMG Line Premium Plus,1301,246888,30720,41000,1202,94406,32429,1991,1685,Sports Car,2018-08-31,2028-08-30,2351,Auto,70013,98024,180.0,2
1081318,Porsche Cayman S 3.4A PDK,3947,199888,21950,133000,3375,43090,47316,3436,1450,Sports Car,2011-06-03,2031-04-30,3324,Auto,86327,86327,235.0,5
1082920,Mercedes-Benz GLE-Class GLE450 Mild Hybrid AMG Line 4MATIC,896,325000,34900,67000,2384,119414,36001,2999,2220,SUV,2019-10-10,2029-10-09,2756,Auto,83874,122974,286.0,2
1082895,Honda Vezel 1.5A X,1841,66088,11830,86192,682,34931,49430,1496,1190,SUV,2017-03-09,2027-03-08,1810,Auto,23489,14885,96.0,1
1079560,Mazda 6 2.0A,1134,98000,12830,35800,1210,38019,34509,1998,1515,Luxury Sedan,2019-02-14,2029-02-13,2518,Auto,18950,18950,121.0,1
1046448,BMW 2 Series 218i Active Tourer,2582,56800,16030,149030,684,31332,67901,1499,1360,Hatchback,2015-02-27,2025-02-26,1070,Auto,26859,19603,100.0,3
