RefLink,CarName,Price,Depreciation,Mileage,Road Tax,Dereg Value,COE,Engine Cap,Curb Weight,Type of Vehicle,Reg Date,Transmission,OMV,ARF,Power,No of Owners
https://www.sgcarmart.com/used_cars/info.php?ID=1081489&DL=2178,Volvo V40 T4 R-Design,"$115,800","$14,120 /yr
View models with similar depre","17,000 km (6.3k /yr)","$1,176 /yr","$44,075 as of today (change)","$34,000","1,969 cc","1,454 kg",Hatchback,"08-Jul-2019
(7yrs 3mths 13days COE left)",Auto,"$24,074","$25,704",140.0 kW (187 bhp),1
https://www.sgcarmart.com/used_cars/info.php?ID=1070886&DL=1000,Land Rover Range Rover Sport Diesel 3.0A 7-Seater,"$188,888","$27,100 /yr
View models with similar depre","133,000 km (24.6k /yr)","$3,376 /yr","$115,977 as of today (change)","$56,956","2,993 cc","2,183 kg",SUV,"28-Oct-2016
(4yrs 7mths 3days COE left)",Auto,"$86,985","$128,573",225.0 kW (301 bhp),2
https://www.sgcarmart.com/used_cars/info.php?ID=1082885&DL=2927,Volvo XC60 T5 Momentum,"$170,000","$22,680 /yr
View models with similar depre","58,000 km (16.5k /yr)","$1,176 /yr","$54,933 as of today (change)","$32,311","1,969 cc","1,841 kg",SUV,"20-Sep-2018
(6yrs 5mths 26days COE left)",Auto,"$38,070","$45,298",187.0 kW (250 bhp),1
https://www.sgcarmart.com/used_cars/info.php?ID=1080087&DL=3597,Toyota Voxy 2.0A X (COE till 09/2028),"$68,888","$10,580 /yr","176,000 km (13k /yr)","$1,674 /yr","$21,727 as of today (change)","$33,377","1,986 cc","1,560 kg",MPV,"25-Sep-2008
(6yrs 6mths  COE left)",Auto,"$22,387","$22,387",105.0 kW (140 bhp),4
https://www.sgcarmart.com/used_cars/info.php?ID=1079487&DL=1152,Audi A3 Sedan 1.4A TFSI CoD S-tronic,"$100,800","$13,290 /yr
View models with similar depre","96,775 km (28.8k /yr)",$624 /yr,"$40,187 as of today (change)","$32,302","1,395 cc","1,320 kg",Luxury Sedan,"13-Nov-2018
(6yrs 7mths 19days COE left)",Auto,"$23,548","$24,968",110.0 kW (147 bhp),1
https://www.sgcarmart.com/used_cars/info.php?ID=1080794&DL=1163,Mazda 3 1.5A Sunroof,"$52,800","$10,630 /yr
View models with similar depre","73,000 km (13.1k /yr)",$682 /yr,"$31,523 as of today (change)","$53,334","1,496 cc","1,321 kg",Mid-Sized Sedan,"31-Aug-2016
(4yrs 5mths 6days COE left)",Auto,"$16,217","$11,217",88.0 kW (118 bhp),1
https://www.sgcarmart.com/used_cars/info.php?ID=1063581&DL=1242,Mercedes-Benz S-Class S300L Sunroof (COE till 03/2029),"$76,800","$10,930 /yr","133,000 km (10.2k /yr)","$3,097 /yr","$23,194 as of today (change)","$33,018","2,997 cc","1,850 kg",Luxury Sedan,"02-Apr-2009
(7yrs 7days COE left)",Auto,"$82,966","$82,966",170.0 kW (227 bhp),3
https://www.sgcarmart.com/used_cars/info.php?ID=1082459&DL=3911,Honda Shuttle 1.5A G Honda Sensing,"$79,800","$10,600 /yr
View models with similar depre",N.A.,$682 /yr,"$25,968 as of today (change)","$26,309","1,496 cc","1,130 kg",Stationwagon,"16-Apr-2019
(7yrs 22days COE left)",Auto,"$19,838","$9,838",97.0 kW (130 bhp),1
https://www.sgcarmart.com/used_cars/info.php?ID=1067699&DL=3797,Suzuki Swift 1.2A XG (COE till 12/2023),"$14,888","$8,580 /yr","125,000 km (9.4k /yr)",$748 /yr,"$4,782 as of today (change)","$13,786","1,242 cc","1,000 kg",Hatchback,"18-Dec-2008
(1yr 8mths 23days COE left)",Auto,"$10,352","$10,352",90.0 kW (120 bhp),5
https://www.sgcarmart.com/used_cars/info.php?ID=1072795&DL=3518,Suzuki Vitara 1.6A GLX,"$67,800","$11,290 /yr
View models with similar depre","99,000 km (21.8k /yr)",$736 /yr,"$32,738 as of today (change)","$42,900","1,586 cc","1,160 kg",SUV,"06-Sep-2017
(5yrs 5mths 12days COE left)",Auto,"$17,449","$12,449",88.0 kW (118 bhp),1
https://www.sgcarmart.com/used_cars/info.php?ID=1077934&DL=2339,Mercedes-Benz AMG GT S,"$608,800","$60,040 /yr
View models with similar depre","9,980 km (4.7k /yr)","$3,922 /yr","$231,394 as of today (change)","$37,109","3,982 cc","1,665 kg",Sports Car,"13-Feb-2020
(7yrs 10mths 19days COE left)",Auto,"$165,254","$269,458",384.0 kW (514 bhp),2
https://www.sgcarmart.com/used_cars/info.php?ID=1016288&DL=2759,Volkswagen Passat R36 (COE till 03/2029),"$69,800","$10,010 /yr","95,000 km (7.3k /yr)","$4,316 /yr","$23,022 as of today (change)","$33,018","3,597 cc","1,689 kg",Luxury Sedan,"13-Mar-2009
(6yrs 11mths 16days COE left)",Auto,"$47,041","$47,041",220.0 kW (295 bhp),4
https://www.sgcarmart.com/used_cars/info.php?ID=1024055&DL=1020,Mercedes-Benz S-Class S300L (COE till 05/2027),"$68,800","$13,260 /yr",N.A.,"$3,573 /yr","$27,238 as of today (change)","$52,491","2,997 cc","1,850 kg",Luxury Sedan,"26-Jun-2007
(5yrs 2mths 7days COE left)",Auto,"$81,510","$89,661",170.0 kW (227 bhp),4
https://www.sgcarmart.com/used_cars/info.php?ID=1070752&DL=1000,Mercedes-Benz E-Class E300 Coupe AMG Line Premium Plus,"$246,888","$30,720 /yr
View models with similar depre","41,000 km (11.5k /yr)","$1,202 /yr","$94,406 as of today (change)","$32,429","1,991 cc","1,685 kg",Sports Car,"31-Aug-2018
(6yrs 5mths 6days COE left)",Auto,"$70,013","$98,024",180.0 kW (241 bhp),2
https://www.sgcarmart.com/used_cars/info.php?ID=1081318&DL=1000,Porsche Cayman S 3.4A PDK (COE till 04/2031),"$199,888","$21,950 /yr","133,000 km (12.3k /yr)","$3,375 /yr","$43,090 as of today (change)","$47,316","3,436 cc","1,450 kg",Sports Car,"03-Jun-2011
(9yrs 1mth 6days COE left)",Auto,"$86,327","$86,327",235.0 kW (315 bhp),5
https://www.sgcarmart.com/used_cars/info.php?ID=1082920&DL=2051,Mercedes-Benz GLE-Class GLE450 Mild Hybrid AMG Line 4MATIC,"$325,000","$34,900 /yr
View models with similar depre","67,000 km (27.3k /yr)","$2,384 /yr","$119,414 as of today (change)","$36,001","2,999 cc","2,220 kg",SUV,"10-Oct-2019
(7yrs 6mths 15days COE left)",Auto,"$83,874","$122,974",286.0 kW (383 bhp),2
https://www.sgcarmart.com/used_cars/info.php?ID=1082895&DL=3597,Honda Vezel 1.5A X,"$66,088","$11,830 /yr
View models with similar depre","86,192 km (17.1k /yr)",$682 /yr,"$34,931 as of today (change)","$49,430","1,496 cc","1,190 kg",SUV,"09-Mar-2017
(4yrs 11mths 12days COE left)",Auto,"$23,489","$14,885",96.0 kW (128 bhp),1
https://www.sgcarmart.com/used_cars/info.php?ID=1079560&DL=3133,Mazda 6 2.0A,"$98,000","$12,830 /yr
View models with similar depre","35,800 km (11.5k /yr)","$1,210 /yr","$38,019 as of today (change)","$34,509","1,998 cc","1,515 kg",Luxury Sedan,"14-Feb-2019
(6yrs 10mths 20days COE left)",Auto,"$18,950","$18,950",121.0 kW (162 bhp),1
https://www.sgcarmart.com/used_cars/info.php?ID=1073051&DL=2080,Toyota Rav4 2.0A Premium,"$113,800","$13,810 /yr
View models with similar depre",N.A.,"$1,198 /yr","$48,895 as of today (change)","$33,989","1,987 cc","1,530 kg",SUV,"05-Apr-2019
(7yrs 11days COE left)",Auto,"$29,506","$33,309",127.0 kW (170 bhp),1
https://www.sgcarmart.com/used_cars/info.php?ID=1046448&DL=3214,BMW 2 Series 218i Active Tourer,"$56,800","$16,030 /yr
View models with similar depre","149,030 km (21.1k /yr)",$684 /yr,"$31,332 as of today (change)","$67,901","1,499 cc","1,360 kg",Hatchback,"27-Feb-2015
(2yrs 11mths 2days COE left)",Auto,"$26,859","$19,603",100.0 kW (134 bhp),3
https://www.sgcarmart.com/used_cars/info.php?ID=1074551&DL=4115,BMW 3 Series 328i Luxury (New 10-yr COE),"$118,800","$11,870 /yr","129,300 km (13.2k /yr)","$1,210 /yr",N.A.,N.A.,"1,997 cc","1,455 kg",Luxury Sedan,"13-Jun-2012
(10yrs  COE left)",Auto,"$42,982","$42,982",180.0 kW (241 bhp),3
https://www.sgcarmart.com/used_cars/info.php?ID=970258&DL=3133,Lexus GS450h Hybrid (COE till 01/2030),"$84,000","$10,750 /yr","153,000 km (12.5k /yr)","$4,030 /yr","$30,824 as of today (change)","$39,463","3,456 cc","1,860 kg",Luxury Sedan,"13-Jan-2010
(7yrs 9mths 19days COE left)",Auto,"$67,214","$40,329",218.0 kW (292 bhp),4
https://www.sgcarmart.com/used_cars/info.php?ID=1054592&DL=2984,BMW 1 Series 116i (New 10-yr COE),"$85,800","$8,570 /yr","129,000 km (13.2k /yr)",$742 /yr,N.A.,N.A.,"1,598 cc","1,310 kg",Hatchback,"27-Jun-2012
(10yrs  COE left)",Auto,"$26,995","$26,995",100.0 kW (134 bhp),3
https://www.sgcarmart.com/used_cars/info.php?ID=1067059&DL=2311,Hyundai Tucson 1.6A GLS T-GDi DCT Turbo,"$81,700","$12,840 /yr
View models with similar depre","109,000 km (25.4k /yr)",$738 /yr,"$45,221 as of today (change)","$57,414","1,591 cc","1,594 kg",SUV,"11-Dec-2017
(5yrs 8mths 16days COE left)",Auto,"$16,524","$16,524",130.0 kW (174 bhp),1
https://www.sgcarmart.com/used_cars/info.php?ID=1077175&DL=2626,BMW 7 Series 740Li Sunroof,"$168,800","$27,540 /yr
View models with similar depre","59,000 km (9.8k /yr)","$2,384 /yr","$95,342 as of today (change)","$48,002","2,998 cc","1,770 kg",Luxury Sedan,"23-Mar-2016
(3yrs 11mths 26days COE left)",Auto,"$80,796","$117,433",240.0 kW (321 bhp),3
https://www.sgcarmart.com/used_cars/info.php?ID=1074356&DL=1079,Nissan Qashqai 1.2A DIG-T Premium,"$53,800","$11,670 /yr
View models with similar depre","64,100 km (10.7k /yr)",$508 /yr,"$27,831 as of today (change)","$45,000","1,197 cc","1,285 kg",SUV,"28-Mar-2016
(4yrs 3days COE left)",Auto,"$18,974","$13,974",85.0 kW (113 bhp),1
https://www.sgcarmart.com/used_cars/info.php?ID=1075495&DL=3723,BMW 5 Series 523i Highline (COE till 08/2030),"$85,500","$10,170 /yr","132,000 km (11.4k /yr)","$2,155 /yr","$27,666 as of today (change)","$32,914","2,497 cc","1,650 kg",Luxury Sedan,"18-Aug-2010
(8yrs 4mths 24days COE left)",Auto,"$43,943","$43,943",150.0 kW (201 bhp),4
https://www.sgcarmart.com/used_cars/info.php?ID=1057493&DL=3867,Mercedes-Benz S-Class S450L,"$378,000","$38,680 /yr
View models with similar depre","25,000 km (11.4k /yr)","$2,382 /yr","$141,755 as of today (change)","$36,000","2,996 cc","1,955 kg",Luxury Sedan,"13-Jan-2020
(7yrs 9mths 19days COE left)",Auto,"$99,730","$151,514",270.0 kW (362 bhp),1
